catRef	newCatNo	collection	chkLevel	catalogingStatus	titleEng	titleTib	titleTibBrief	titleSkt	langMain	authorEng	authorTib	authorSkt	authorDates	primaryAuthorTib	primaryAuthorEng	primaryAuthorSkt	subjectEng	subjectTib	subjectSkt	sectionVolume	volNdx	foliosPages	edition	description	notes	drawingsAndIllustrations	datespublished	textFormat	cover	readability	pageNumbers	pageSize	printedAreaSize	linesPerPage	verificationResults	lowestFolioNo	highestFolioNo	nFolios	nPages	tibEntry	t3.engEntry	sktEntry
94596	KD00001-001(eTB)	KG	E	P	Basis of Vowed Morality, Divisions 1 to 24	'DUL BA GZHI, BAM PO 1 NAS 24 BAR		Vinayavastu,1	TB		SH'AKYA THUB PA	sha-kyamuni buddha	500 BC	SH'AKYA THUB PA			Vowed morality	'DUL BA	vinaya	'DUL BA, Volume 1	'DUL BA, Vol KA	1A-311A	SDE DGE	Immense description of vowed morality, subsuming first four volumes of Kangyur; this is first one	All four volumes now complete		1730	B	H	G				14	OK	1	311	311	620	'DUL BA	VOWED MORALITY	VINAYA
94597	KD00001-002(mTB)	KG	M	P	Basis of Vowed Morality, Divisions 25 to 54	'DUL BA GZHI, BAM PO 25 NAS 54 BAR		Vinayavastu,2	TB		SH'AKYA THUB PA	sha-kyamuni buddha	500 BC	SH'AKYA THUB PA			Vowed morality	'DUL BA	vinaya	'DUL BA, Volume 2	'DUL BA, Vol KHA	1A-317A	SDE DGE	Immense description of vowed morality, subsuming first four volumes of Kangyur; this is second one	All four volumes now complete		1730	B	H	G				14	OK	1	317	317	632	'DUL BA	VOWED MORALITY	VINAYA
94598	KD00001-003(mTB)	KG	M	P	Basis of Vowed Morality, Divisions 55 to 82	'DUL BA GZHI, BAM PO 55 NAS 82 BAR		Vinayavastu,3	TB		SH'AKYA THUB PA	sha-kyamuni buddha	500 BC	SH'AKYA THUB PA			Vowed morality	'DUL BA	vinaya	'DUL BA, Volume 3	'DUL BA, Vol GA	1A-293A	SDE DGE	Immense description of vowed morality, subsuming first four volumes of Kangyur; this is third one	All four volumes now complete		1730	B	H	G				14	OK	1	293	293	584	'DUL BA	VOWED MORALITY	VINAYA
94599	KDE00001-004(eTB)	KG	E	P	Basis of Vowed Morality, Divisions 83 to 109, Version One	'DUL BA GZHI, BAM PO 83 NAS 109 BAR, BCUG PA SNGA MA		Vinayavastu,4	TB		SH'AKYA THUB PA	sha-kyamuni buddha	500 BC	SH'AKYA THUB PA			Vowed morality	'DUL BA	vinaya	'DUL BA, Volume 4	'DUL BA, Vol NGA	1A-302A	SDE DGE	Immense description of vowed morality, subsuming first four volumes of Kangyur; this is the fourth one	All four volumes now complete		1730	B	H	G				14	OK	1	302	302	603	'DUL BA	VOWED MORALITY	VINAYA
94600	KDL00001-004(nTB)	KG	N	P	Basis of Vowed Morality, Divisions 83 to 109, Version Two	'DUL BA GZHI, BAM PO 83 NAS 109 BAR, BCUG PA PHYI MA		Vinayavastu,4	TB		SH'AKYA THUB PA	sha-kyamuni buddha	500 BC	SH'AKYA THUB PA			Vowed morality	'DUL BA	vinaya	'DUL BA, Volume 4	'DUL BA, Vol NGA	1A-160A	SDE DGE	Immense description of vowed morality, subsuming first four volumes of Kangyur; this is the fourth one	All four volumes now complete		1730	B	H	G				14	OK	1	160	160	319	'DUL BA	VOWED MORALITY	VINAYA
94601	KD00002(mTB)	KG	M	P	Sutra on the Vows of Individual Freedom	SO SOR THAR PA'I MDO		Pratimoks.asutra	TB		SH'AKYA THUB PA	sha-kyamuni buddha	500 BC	SH'AKYA THUB PA			Vowed morality	'DUL BA	vinaya	'DUL BA, Volume 5	'DUL BA, Vol CA	1A-20A	SDE DGE	Renowned description of the eight classes of vowed morality			1730	B	H	G				14	OK	1	20	20	39	'DUL BA	VOWED MORALITY	VINAYA
94602	KD00003-001(eTB)	KG	E	P	Divisions of Vowed Morality, Sections 1 to 21	'DUL BA RNAM PAR 'BYED PA, BAM PO 1 NAS 21 BAR		Vinayavibhan*ga,1	TB		SH'AKYA THUB PA	sha-kyamuni buddha	500 BC	SH'AKYA THUB PA			Vowed morality	'DUL BA	vinaya	'DUL BA, Volume 5	'DUL BA, Vol CA	21A-292A	SDE DGE	Classic work on vowed morality	First of four parts found in separate volumes of Kangyur		1730	B	H	G				14	Missing folios 081B - 085B around line 1689
\
Missing folios 134B - 135B around line 3045	21	292	267	531	'DUL BA	VOWED MORALITY	VINAYA
94603	KD00003-002(eTB)	KG	E	P	Divisions of Vowed Morality, Sections 22 to 42	'DUL BA RNAM PAR 'BYED PA, BAM PO 22 NAS 42 BAR		Vinayavibhan*ga,2	TB		SH'AKYA THUB PA	sha-kyamuni buddha	500 BC	SH'AKYA THUB PA			Vowed morality	'DUL BA	vinaya	'DUL BA, Volume 6	'DUL BA, Vol CHA	1A-287A	SDE DGE	Classic work on vowed morality	Second of four parts found in separate volumes of Kangyur		1730	B	H	G				14	OK	1	287	287	573	'DUL BA	VOWED MORALITY	VINAYA
95058	SL00059-002(mTB)	SB	M	P	Part II of "The Jewel of the True Thought of the 'Great Commentary, the String of Precious Gems,'" being an Overview of a Classical Commentary, the Root Text entitled "The Summary of Vowed Morality"	BSTAN BCOS 'DUL BA MDO RTZA BA'I SPYI DON t'IK CHEN RIN CHEN PHRENG BA'I DGONGS RGYAN, GZHI SMAD			TB		PAn CHEN BLO GROS LEGS BZANG			PAn CHEN BLO GROS LEGS BZANG			Vowed morality/General commentaries	'DUL BA/SPYI		Volume 2 of 2	002-000-000	1B-128A	Printing prayer by BLO BZANG 'JAM DPAL RGYA MTSO (				Printing prayer probably dated 1723	B	H	G				7	Invalid folio sequence: 001B found after @217A, line 4	1	128	128	255	'DUL BA/SPYI	VOWED MORALITY/GENERAL PRESENTATIONS	VINAYA/
95057	SL00059-001(eTB)	SB	E	P	Part I of "The Jewel of the True Thought of the 'Great Commentary, the String of Precious Gems,'" being an Overview of a Classical Commentary, the Root Text entitled "The Summary of Vowed Morality"	BSTAN BCOS 'DUL BA MDO RTZA BA'I SPYI DON t'IK CHEN RIN CHEN PHRENG BA'I DGONGS RGYAN, GZHI STOD			TB		PAn CHEN BLO GROS LEGS BZANG			PAn CHEN BLO GROS LEGS BZANG			Vowed morality/General commentaries	'DUL BA/SPYI/PAn CHEN BLO GROS LEGS BZANG		Volume 1 of 2	001-000-000	1A-217A	Printing prayer by BLO BZANG 'JAM DPAL RGYA MTSO (		Another edition of the same work (first part only) is found at SB0059		Printing prayer probably dated 1723	B	H	G				7	Missing folios 066A - 070B around line 1804	1	217	213	423	'DUL BA/SPYI/PAn CHEN BLO GROS LEGS BZANG	VOWED MORALITY/GENERAL PRESENTATIONS/PANCHEN LODRU LEKSANG	VINAYA//
94860	TDE03948(mTB)	TG	M	P	Difficult Points in "Light on the Path to Buddhahood"	BYANG CHUB LAM GYI SGRON MA'I DKA' 'GREL		BodhipathapradipaPan~jika(Bodhimargadipapan~jika)	TB	Atisha	DPAL MAR ME MDZAD YE SHES	di-pam.karashri-jn~a-na	982-1052	MAR ME MDZAD DPAL YE SHES	Atisha	ati-sha	Middle Way philosophy	DBU MA	ma-dhyamika	DBU MA, Vol KHI	DBU MA, Vol KHI	241A-293A	SDE DGE	Atisha's own commentary on difficult points in his prototype Lam-Rim at TD3947	Originally input from corrupt Delhi edition; a comparison file is found at TDL3948		1730	B	H	G				14	OK	241	293	53	105	DBU MA	MIDDLE-WAY PHILOSOPHY	MADHYAMIKA PRASANGIKA SCHOOL
94861	TDL03948(nTB)	TG	N	P	Difficult Points in "Light on the Path to Buddhahood"	BYANG CHUB LAM GYI SGRON MA'I DKA' 'GREL		BodhipathapradipaPan~jika(Bodhimargadipapan~jika)	TB	Atisha	DPAL MAR ME MDZAD YE SHES	di-pam.karashri-jn~a-na	982-1052	MAR ME MDZAD DPAL YE SHES	Atisha	ati-sha	Middle Way philosophy	DBU MA	ma-dhyamika	DBU MA, Vol KHI	DBU MA, Vol KHI	241A-293A	SDE DGE	Atisha's own commentary on difficult points in his prototype Lam-Rim at TD3947	Originally input from corrupt Delhi edition; a comparison file is found at TDE3948		1730	B	H	G				14	OK	241	293	53	105	DBU MA	MIDDLE-WAY PHILOSOPHY	MADHYAMIKA PRASANGIKA SCHOOL
94865	TB03951(eTB)	TG	E	P	String of Jewels of the Bodhisattvas	BYANG CHUB SEMS DPA'I NOR BU'I PHRENG BA		Bodhisattvaman.yavali	TB	Atisha	DPAL MAR ME MDZAD YE SHES	di-pam.karashri-jn~a-na	982-1052	MAR ME MDZAD DPAL YE SHES	Atisha	ati-sha	Middle Way philosophy	DBU MA	ma-dhyamika	Section #1 in the compilation entitled the BLO SBY	Section #1 in the compilation entitled the BLO SBY	1 -4 	Tibetan Cultural Printing Press, Dharamsala	This work is from a collection of lojong texts called BLO SBYONG BRGYA RTZA, found at S6969	The edition used for this input was unfortunately a very corrupt cold-type printing		1973	B	H	G				42	Check for separate text starting around line 3	1	4	4	4	DBU MA	MIDDLE-WAY PHILOSOPHY	MADHYAMIKA PRASANGIKA SCHOOL
95030	S00041(nEN)	SB	N	P	English Introduction to "Notes on the Art of Interpretation"				EN	Roach, Geshe Michael	AA RI DGE BSHES BLO BZANG CHOS 'DZIN		1952-	AA RI DGE BSHES BLO BZANG CHOS 'DZIN	Geshe Michael Roach		Art of interpretation/Serje Kensur Geshe Lobsang Wangchuk (1901-1979)	DRANG NGES/SER BYES MKHAN ZUR DGE BSHES BLO BZANG DBANG PHYUG						Written for the 1993 Sera Jey Edition of S0026			1993	B	H	G				0	OK	99999	0	1	1	DRANG NGES/SER BYES MKHAN ZUR DGE BSHES BLO BZANG DBANG PHYUG	ART OF INTERPRETATION/Serje Kensur Geshe Lobsang Wangchuk (1901-1979)	/
95069	SE00070-001(eTB)	SB	E	P	An Explanation of the Steps to the Path for Entering into the Precious Teachings of Those Who Have Gone to Bliss, Part One, Version One	BDE BAR GSHEGS PA'I BSTAN PA RIN PO CHE LA 'JUG PA'I LAM GYI RIM PA RNAM PAR BSHAD PA, CHA DANG PO, BCUG PA SNGA BA	BSTAN RIM CHEN MO		TB		DGE BSHES GRO LUNG PA BLO GROS 'BYUNG GNAS		c. 1100	DGE BSHES GRO LUNG PA BLO GROS 'BYUNG GNAS			Teachings on the steps of the path to Enlightenment/Works on "The Steps of the Teaching"	LAM RIM/BSTAN RIM CHEN MO				1A-295A	Sponsored by 'PHRIN LAS BSTAN 'DZIN & BLO BZANG CH	Great progenitor of the Lam-Rim teachings used by Je Tsongkapa to write his most famous work, "The Great Book on the Steps of the Path" ("Lamrim Chenmo")	Input from one of the only clear and complete copies known to exist			B	H	G				7	Missing folios 289A - 289B around line 8041	1	295	295	588	LAM RIM/BSTAN RIM CHEN MO	STEPS OF THE PATH/GREAT BOOK ON THE STEPS OF THE TEACHING	/
95070	SL00070-001(nTB)	SB	N	P	An Explanation of the Steps to the Path for Entering into the Precious Teachings of Those Who Have Gone to Bliss, Part One, Version Two	BDE BAR GSHEGS PA'I BSTAN PA RIN PO CHE LA 'JUG PA'I LAM GYI RIM PA RNAM PAR BSHAD PA, CHA DANG PO, BCUG PA PHYI MA	BSTAN RIM CHEN MO		TB		DGE BSHES GRO LUNG PA BLO GROS 'BYUNG GNAS		c. 1100	DGE BSHES GRO LUNG PA BLO GROS 'BYUNG GNAS			Teachings on the steps of the path to Enlightenment/Works on "The Steps of the Teaching"	LAM RIM/BSTAN RIM CHEN MO				1A-295A	Sponsored by 'PHRIN LAS BSTAN 'DZIN & BLO BZANG CH	Great progenitor of the Lam-Rim teachings used by Je Tsongkapa to write his most famous work, "The Great Book on the Steps of the Path" ("Lamrim Chenmo")	Input from one of the only clear and complete copies known to exist			B	H	G				7	Invalid folio sequence: 013A found after @112B, line 3091\
Missing folios 013B - 113A around line 3105\
Invalid folio sequence: 257B found after @256B, line 7090	1	295	295	589	LAM RIM/BSTAN RIM CHEN MO	STEPS OF THE PATH/GREAT BOOK ON THE STEPS OF THE TEACHING	/
95071	SE00070-002(mTB)	SB	M	P	An Explanation of the Steps to the Path for Entering into the Precious Teachings of Those Who Have Gone to Bliss, Part Two, Version One	BDE BAR GSHEGS PA'I BSTAN PA RIN PO CHE LA 'JUG PA'I LAM GYI RIM PA RNAM PAR BSHAD PA, CHA GNYIS PA, BCUG PA SNGA BA	STAN RIM CHEN MO		TB		DGE BSHES GRO LUNG PA BLO GROS 'BYUNG GNAS		c. 1100	DGE BSHES GRO LUNG PA BLO GROS 'BYUNG GNAS			Teachings on the steps of the path to Enlightenment/Works on "The Steps of the Teaching"	LAM RIM/BSTAN RIM CHEN MO				296A-548A	Sponsored by 'PHRIN LAS BSTAN 'DZIN & BLO BZANG CH	Great progenitor of the Lam-Rim teachings used by Je Tsongkapa to write his most famous work, "The Great Book on the Steps of the Path" ("Lamrim Chenmo")	Input from one of the only clear and complete copies known to exist			B	H	G				7	OK	296	548	254	506	LAM RIM/BSTAN RIM CHEN MO	STEPS OF THE PATH/GREAT BOOK ON THE STEPS OF THE TEACHING	/
95023	S00034(eEN)	SB	E	P	The Principal Teachings of Buddhism [English translation]	RDO RJE 'CHANG PHA BONG KHA PA DPAL BZANG POS LAM GTZO'I ZAB KHRID STZAL SKABS KYI GSUNG BSHAD ZIN BRIS LAM BZANG SGO 'BYED, DBYIN SKAD	LAM GTZO GSUM GYI ZIN BRIS		EN	Pabongka Rinpoche Dechen Nyingpo	Pabongka Rinpoche Dechen Nyingpo		1878-1941	BDE CHEN SNYING PO	Dechen Nyingpo		Steps of the Path/The Three Principal Paths	LAM RIM/LAM GTZO RNAM GSUM		Work #6 in Collected Works, Volume 8	008-006-000	0t-400 	Mahayana Sutra and Tantra Press	English translation of Tibetan S0034	translated by Khen Rinpoche Geshe Lobsang Tharchin with Geshe Michael Roach		1988	B	H	G				3	Folio marker misplaced in line 1991, moved to new line\
Folio marker misplaced in line 1992, moved to new line\
Folio marker misplaced in line 2247, moved to new line\
Folio marker misplaced in line 4150, moved to new line\
Folio marker misplaced in line 4311, moved to new line\
Folio marker misplaced in line 4377, moved to new line\
Folio marker misplaced in line 5312, moved to new line\
Folio marker misplaced in line 5445, moved to new line\
Folio marker misplaced in line 7068, moved to new line\
Invalid folio sequence: 000t found after @197A, line 647\
Invalid folio sequence: 000S found after @000t, line 1064\
Invalid folio sequence: 000  found after @068 , line 1995\
Invalid folio sequence: 000f found after @000 , line 2167\
Invalid folio sequence: 000t found after @000f, line 2241\
Invalid folio sequence: 000t found after @000t, line 2244\
Invalid folio sequence: 000B found after @400 , line 2421\
Invalid folio sequence: 000f found after @000B, line 2424\
Invalid folio sequence: 000f found after @000f, line 2433\
Invalid folio sequence: 000W found after @000f, line 3317\
Invalid folio sequence: 000f found after @000W, line 3495\
Invalid folio sequence: 000r found after @000f, line 3496\
Invalid folio sequence: 000f found after @000r, line 3746\
Invalid folio sequence: 000s found after @000f, line 3767\
Invalid folio sequence: 000w found after @000s, line 3780\
Invalid folio sequence: 000S found after @000w, line 4122\
Missing folios 142B - 399B around line 4317\
Invalid folio sequence: 000  found after @400 , line 4384\
Missing folios 000B - 399B around line 4387\
Invalid folio sequence: 000  found after @400 , line 4842\
Invalid folio sequence: 000r found after @000 , line 4884\
Invalid folio sequence: 000  found after @000r, line 5320\
Invalid folio sequence: 000m found after @000 , line 5419\
Invalid folio sequence: 000Q found after @000m, line 5423\
Invalid folio sequence: 000  found after @000Q, line 5454\
Invalid folio sequence: 000G found after @000 , line 6050\
Invalid folio sequence: 000R found after @000G, line 6070\
Invalid folio sequence: 000E found after @000R, line 6964\
Invalid folio sequence: 000R found after @000E, line 6968\
Invalid folio sequence: 000( found after @000R, line 6971\
Invalid folio sequence: 000E found after @000(, line 6999\
Invalid folio sequence: 000  found after @400 , line 7473\
Invalid folio sequence: 000s found after @000B, line 7605\
Invalid folio sequence: 000s found after @000s, line 7762\
Invalid folio sequence: 000P found after @000s, line 7835\
Invalid folio sequence: 000G found after @000P, line 7856\
Invalid folio sequence: 000f found after @000G, line 7875\
Invalid folio sequence: 000p found after @000f, line 7891	0	400	13	44	LAM RIM/LAM GTZO RNAM GSUM	STEPS OF THE PATH/THE THREE PRINCIPAL PATHS	/
95067	S00068(mTB)	SB	M	P	Detailed Outline of the "Dissection" Presentations of the Steps of the Path	BYANG CHUB LAM GYI RIM PA'I DMAR KHRID KYI SA BCAD RGYAS PAR BKRAL BA, NYER MKHO'I MAN NGAG 'TSOL BDE'I MCHAN DANG BCAS PA			TB								Teachings on the steps of the path to Enlightenment/Works on "The Dissection Instruction for the Steps of the Path"	LAM RIM/LAM RIM DMAR KHRID				0 -19A	Sponsor MKHAN CHUNG THUB BSTAN RGYAL PO	Expanded outline incorporating structure of a number of texts of the Lam-Rim genre				B	H	G				6	Invalid folio sequence: 001B found after @805A, line 3\
Invalid folio sequence: 000  found after @009A, line 177\
Missing folios 000B - 009B around line 179	0	19	20	37	LAM RIM/LAM RIM DMAR KHRID	STEPS OF THE PATH/'DISSECTION' TEACHINGS ON THE STEPS OF THE PATH	/
